total-sqft,house-sqft,price
6000,1422,136600
5650,1384,158400
5850,1249,144400
5900,1390,142400
7788,960,147900
8100,1075.20001,145000
7400,1224,144200
7400,1224,144200
7050,1288,125100
7050,1288,125100
8160,1485,158000
5500,667,106400
5650,1274.00001,143000
5650,1587,163200
6318,1860,163200
5650,1096,137900
5650,936,134500
5650,936,134500
10010,2768.2,210700
6500,1380,147400
5650,1056,137100
5650,1433.60001,105700
5763,2600,209000
6000,1168,71600
6070,1612.80001,148200
6000,1096,99400
6000,1124.00001,150100
5967,1094,141800
5967,1094,141800
5850,1249,144400
5850,1312,128200
5900,1062,134200
7788,960,147900
8100,1075.20001,145000
8100,1075.20001,145000
3700,3778,77800
8100,1075.20001,145000
7400,1224,144200
6840,1479,152200
6840,1479,152200
8160,1485,158000
8664,1006,135000
7000,1096,139600
5650,1094,148800
5500,667,106400
5650,1587,163200
8475,1120,148700
11700,2027.5,204100
5850,900,128200
5850,1096,121000
5850,1760,161100
5650,936,134500
10010,2768.2,210700
10010,2768.2,210700
6500,1380,147400
6500,1218,144700
6500,1282,140400
9750,1600.4,155200
9750,1600.4,155200
6650,1464,179800
5650,900,131400
5500,1044,137300
5650,1433.60001,105700
5700,1140,136900
5650,1200.5,151400
8250,2400.00001,225900
8250,2400.00001,225900
6750,1381,96000
5250,1372,65200
7050,1192,147000
6500,1019.20001,139900
6500,1572,146700
7100,1192,136900
7100,1192,136900
7100,1192,136900
15325,5152,242100
40280,12596,248600
7750,1576,151900
7750,1576,151900
7100,1192,136900
6900,1750,154800
6900,1750,154800
6900,1750,154800
17620,1152,121600
15560,1308,163100
28875,1170,107200
4910,1008.00001,114700
7865,1329,123000
5000,1008.00001,117000
6800,1400,164400
7650,1048.00001,131700
7650,1048.00001,131700
7650,1048.00001,131700
6750,1048.00001,128200
6750,1048.00001,128200
6750,1048.00001,128200
8100,1860,139800
8100,1860,139800
7000,2684,238600
7000,1662,174500
7000,1662,174500
7680,1024,138000
40280,12596,248600
40280,12596,248600
40280,12596,248600
15560,1308,163100
83635,41727,546000
83635,41727,546000
10341,1470,148500
5000,1008.00001,122100
5990,1260,134000
5000,1148.00001,119600
8040,899,138600
8040,899,138600
7650,1048.00001,131700
7650,1048.00001,131700
3600,1176.00001,132600
6000,1075.20001,122300
7000,1662,174500
7680,1024,138000
7680,1024,138000
0,51200,2450000
10640,1871.80001,131100
10640,1871.80001,131100
8320,1095.5,99000
6700,2112,153700
11250,1428,128100
11250,1428,128100
5500,974.40001,118700
7680,1024,138000
9600,1671,154400
11250,1428,128100
9700,3477.5,209500
9514,1834.5,157300
9514,1834.5,157300
8940,900,117200
8940,900,117200
18625,900,119900
7800,1566,151100
8750,1086,132900
7500,900,116200
7500,900,116000
8016,900,112100
10287,900,116300
7500,900,121400
10018,2558,207200
6360,1559,151300
6000,1473.6,145900
6240,1228.5,130400
5824,1655,134700
7445,1717,172400
7020,1591,157500
7020,1591,157500
6051,1706,167600
6006,1856,201800
6720,1446,150800
9514,1834.5,157300
9514,1834.5,157300
6250,1344,130500
7975,1356,140700
8940,900,117200
10125,900,125700
8750,1086,132900
8950,1015.00001,134000
10500,1467,135700
10500,1467,135700
7500,900,119000
7500,900,116200
8880,900,103800
7680,899,113200
7500,900,114900
6000,1275.25,127200
5824,1655,134700
8745,1522.5,155600
7301,1861,169900
6720,1446,150800
7500,1914.00001,160300
5865,1106,141600
7650,1775.5,139000
7650,1215,139400
7650,2120.5,176800
7500,974.40001,115700
6000,1473,131800
7650,1215,139400
6250,1066,144900
6250,1342.25,125100
6250,1342.25,125100
7500,942,125200
7500,1024,98900
7500,1834.5,153600
7500,1218,107400
7500,1218,107400
7500,1190.40001,103400
14088,2160.00001,180700
7500,2114,150600
18090,5254,485200
7500,973.00001,117900
7350,973.00001,127400
7500,2624,178200
7500,1518,140000
10800,2771.5,209400
10800,2965,224100
8325,3206,233100
6068,900,129600
6757,1008.00001,120700
8300,1200,120100
6944,1043,127500
6944,1043,127500
7500,974.40001,115700
14088,2160.00001,180700
14088,2160.00001,180700
6460,1038,130900
7500,1518,140000
